Product,Mark,Category,Description,Price,Stock
Apple Laptops Product 1,Apple,Laptops,This compact and lightweight gadget is perfect for on-the-go productivity.,1060.79,45
Samsung Monitors Product 1,Samsung,Monitors,A powerful and sleek device designed for high performance and efficiency.,161.99,56
Microsoft Laptops Product 1,Microsoft,Laptops,"Stay connected with this device, featuring a long-lasting battery and advanced features.",650.99,84
Sony Laptops Product 1,Sony,Laptops,A powerful and sleek device designed for high performance and efficiency.,1943.49,72
HP Laptops Product 1,HP,Laptops,Experience stunning visuals and fast processing with this top-of-the-line product.,1028.49,15
Dell Tablets Product 1,Dell,Tablets,"Perfect for gaming, this product offers superior speed and precision.",710.49,87
Lenovo Headphones Product 1,Lenovo,Headphones,Experience stunning visuals and fast processing with this top-of-the-line product.,1719.99,7
Logitech Webcams Product 1,Logitech,Webcams,"Perfect for gaming, this product offers superior speed and precision.",913.49,9
Razer Smart Home Devices Product 1,Razer,Smart Home Devices,Capture every detail with this high-resolution camera accessory.,261.79,26
Google Mice Product 1,Google,Mice,Designed for seamless multi-tasking and a fluid user experience.,1300.99,86
Apple Tablets Product 2,Apple,Tablets,Experience stunning visuals and fast processing with this top-of-the-line product.,1849.99,31
Samsung Laptops Product 2,Samsung,Laptops,This compact and lightweight gadget is perfect for on-the-go productivity.,1476.99,19
Microsoft Smart Home Devices Product 2,Microsoft,Smart Home Devices,Experience stunning visuals and fast processing with this top-of-the-line product.,1480.99,20
Sony Tablets Product 2,Sony,Tablets,Experience stunning visuals and fast processing with this top-of-the-line product.,1998.99,94
HP Webcams Product 2,HP,Webcams,"Perfect for gaming, this product offers superior speed and precision.",1117.49,53
Dell Smartphones Product 2,Dell,Smartphones,Immerse yourself in crystal-clear audio with these comfortable and stylish headphones.,1185.79,20
Lenovo Smart Home Devices Product 2,Lenovo,Smart Home Devices,Immerse yourself in crystal-clear audio with these comfortable and stylish headphones.,222.99,95
Logitech Tablets Product 2,Logitech,Tablets,Experience stunning visuals and fast processing with this top-of-the-line product.,835.49,66
Razer Headphones Product 2,Razer,Headphones,"Stay connected with this device, featuring a long-lasting battery and advanced features.",1965.79,87
Google Tablets Product 2,Google,Tablets,"Stay connected with this device, featuring a long-lasting battery and advanced features.",187.49,63
Lenovo Headphones Product 21,Lenovo,Headphones,Designed for seamless multi-tasking and a fluid user experience.,1977.49,81
Razer Smartphones Product 22,Razer,Smartphones,"Perfect for gaming, this product offers superior speed and precision.",1556.79,28
Samsung Monitors Product 23,Samsung,Monitors,Designed for seamless multi-tasking and a fluid user experience.,1130.79,84
Sony Tablets Product 24,Sony,Tablets,"Stay connected with this device, featuring a long-lasting battery and advanced features.",1376.49,19
HP Laptops Product 25,HP,Laptops,This compact and lightweight gadget is perfect for on-the-go productivity.,1025.49,9
Apple Monitors Product 26,Apple,Monitors,"Ideal for professional use, this product combines durability with cutting-edge technology.",1490.99,36
Lenovo Webcams Product 27,Lenovo,Webcams,"Perfect for gaming, this product offers superior speed and precision.",1523.99,27
Dell Tablets Product 28,Dell,Tablets,Enhance your smart home with this easy-to-use and intuitive device.,1428.99,54
Logitech Monitors Product 29,Logitech,Monitors,A powerful and sleek device designed for high performance and efficiency.,1719.49,44
Dell Webcams Product 30,Dell,Webcams,Designed for seamless multi-tasking and a fluid user experience.,292.99,97
Lenovo Smartphones Product 31,Lenovo,Smartphones,Experience stunning visuals and fast processing with this top-of-the-line product.,1691.49,77
HP Smartphones Product 32,HP,Smartphones,Designed for seamless multi-tasking and a fluid user experience.,1880.99,15
Samsung Smart Home Devices Product 33,Samsung,Smart Home Devices,A powerful and sleek device designed for high performance and efficiency.,1359.49,81
Samsung Keyboards Product 34,Samsung,Keyboards,This compact and lightweight gadget is perfect for on-the-go productivity.,957.79,69
Apple Laptops Product 35,Apple,Laptops,Enhance your smart home with this easy-to-use and intuitive device.,357.49,14
Apple Tablets Product 36,Apple,Tablets,Enhance your smart home with this easy-to-use and intuitive device.,1835.99,88
Sony Headphones Product 37,Sony,Headphones,This compact and lightweight gadget is perfect for on-the-go productivity.,1672.49,51
Google Gaming Accessories Product 38,Google,Gaming Accessories,A powerful and sleek device designed for high performance and efficiency.,66.49,91
Microsoft Monitors Product 39,Microsoft,Monitors,A powerful and sleek device designed for high performance and efficiency.,618.49,3
Apple Webcams Product 40,Apple,Webcams,This compact and lightweight gadget is perfect for on-the-go productivity.,661.99,52
Lenovo Keyboards Product 41,Lenovo,Keyboards,Experience stunning visuals and fast processing with this top-of-the-line product.,1604.99,16
Logitech Tablets Product 42,Logitech,Tablets,"Ideal for professional use, this product combines durability with cutting-edge technology.",336.79,41
Sony Tablets Product 43,Sony,Tablets,This compact and lightweight gadget is perfect for on-the-go productivity.,603.49,26
Dell Headphones Product 44,Dell,Headphones,Experience stunning visuals and fast processing with this top-of-the-line product.,288.79,8
Samsung Headphones Product 45,Samsung,Headphones,Designed for seamless multi-tasking and a fluid user experience.,1930.79,22
Microsoft Smartphones Product 46,Microsoft,Smartphones,A powerful and sleek device designed for high performance and efficiency.,349.79,23
Lenovo Mice Product 47,Lenovo,Mice,Experience stunning visuals and fast processing with this top-of-the-line product.,793.49,30
Microsoft Mice Product 48,Microsoft,Mice,Experience stunning visuals and fast processing with this top-of-the-line product.,1158.49,49
Logitech Smart Home Devices Product 49,Logitech,Smart Home Devices,Enhance your smart home with this easy-to-use and intuitive device.,501.99,71
Dell Laptops Product 50,Dell,Laptops,Designed for seamless multi-tasking and a fluid user experience.,1505.79,38
HP Headphones Product 51,HP,Headphones,Experience stunning visuals and fast processing with this top-of-the-line product.,531.99,67
HP Mice Product 52,HP,Mice,Designed for seamless multi-tasking and a fluid user experience.,705.49,34
Razer Webcams Product 53,Razer,Webcams,This compact and lightweight gadget is perfect for on-the-go productivity.,1706.49,36
HP Gaming Accessories Product 54,HP,Gaming Accessories,Enhance your smart home with this easy-to-use and intuitive device.,1722.79,90
Apple Monitors Product 55,Apple,Monitors,A powerful and sleek device designed for high performance and efficiency.,1454.99,0
HP Monitors Product 56,HP,Monitors,This compact and lightweight gadget is perfect for on-the-go productivity.,1707.49,72
Apple Smart Home Devices Product 57,Apple,Smart Home Devices,This compact and lightweight gadget is perfect for on-the-go productivity.,1722.79,8
Lenovo Tablets Product 58,Lenovo,Tablets,"Perfect for gaming, this product offers superior speed and precision.",217.99,51
